order_id,customer_id,order_amount,currency,order_date,status,country_code,payment_method,fraud_flag,delivery_days,customer_age,product_category
10001,7186,0,INR,1-1-23,Cancelled,CA,Credit Card,No,14,72,Automotive
10002,5563,72.00297813,BTC,1-2-23,Completed,XX,Bitcoin,No,1,69,Electronics
10003,5785,476.4725454,BTC,1-3-23,Completed,UK,Credit Card,No,7,18,Toys
10004,11619,403.0758893,INR,1-4-23,Completed,IN,Bitcoin,No,5,20,Clothing
10005,5564,96.34861769,USD,1-5-23,Completed,UK,Bitcoin,No,9,71,Automotive
10006,9430,216.1324999,INR,1-6-23,Completed,DE,Credit Card,No,2,63,Toys
10007,12580,56.92808597,BTC,1-7-23,Completed,CA,Bank Transfer,No,8,62,Toys
10008,11802,27.75704437,USD,1-8-23,Completed,UK,Bitcoin,No,4,39,Automotive
10009,6603,488.3789255,GBP,1-9-23,Completed,UK,PayPal,No,6,57,Home & Kitchen
10010,6064,473.4158408,GBP,1-10-23,Completed,DE,PayPal,No,14,26,Toys
10011,9217,433.9790487,INR,1-11-23,Completed,CA,PayPal,No,10,60,Clothing
10012,5010,322.0939413,GBP,1-12-23,Cancelled,IN,Credit Card,No,14,40,Electronics
10013,14729,322.6505118,USD,1-13-23,Completed,US,PayPal,No,14,64,Electronics
10014,14892,348.7203846,EUR,1-14-23,Completed,CA,Bitcoin,No,5,74,Home & Kitchen
10015,11992,364.9829243,GBP,1-15-23,Completed,CA,Credit Card,No,13,57,Toys
10016,13506,90.78747375,EUR,1-16-23,Completed,UK,PayPal,No,14,36,Automotive
10017,14588,401.9743287,BTC,1-17-23,Completed,CA,Bank Transfer,No,13,38,Clothing
10018,9133,427.789053,EUR,1-18-23,Completed,XX,Credit Card,No,3,50,Clothing
10019,5828,363.6208245,GBP,1-19-23,Completed,CA,PayPal,No,4,18,Electronics
10020,6597,492.7322355,USD,1-20-23,Completed,UK,PayPal,No,3,48,Home & Kitchen
10021,5563,139.5895252,GBP,1-21-23,Completed,IN,Credit Card,No,2,52,Toys
10022,9633,487.4809927,USD,1-22-23,Refunded,UK,Bitcoin,No,8,48,Clothing
10023,8380,245.2172415,EUR,1-23-23,Completed,US,PayPal,No,6,19,Home & Kitchen
10024,12963,196.2125478,INR,1-24-23,Completed,IN,PayPal,No,12,27,Toys
10025,12421,220.4441239,INR,1-25-23,Completed,UK,Bank Transfer,No,12,52,Automotive
10026,11783,88.25458146,USD,1-26-23,Completed,UK,Credit Card,No,10,54,Clothing
10027,9161,408.8784823,GBP,1-27-23,Completed,IN,Bitcoin,No,10,35,Home & Kitchen
10028,13206,470.5184091,BTC,1-28-23,Completed,US,Bitcoin,No,7,36,Toys
10029,7570,317.4169961,GBP,1-29-23,Completed,UK,Bitcoin,No,3,69,Home & Kitchen
10030,14491,245.0073293,BTC,1-30-23,Completed,CA,Bitcoin,No,7,52,Toys
10031,8372,214.3826253,GBP,1-31-23,Completed,CA,Bitcoin,No,2,36,Toys
10032,5704,428.3666321,EUR,2-1-23,Completed,US,Bank Transfer,No,8,49,Home & Kitchen
10033,7842,342.8140131,USD,2-2-23,Completed,CA,Bank Transfer,No,9,37,Clothing
10034,7388,336.1663922,GBP,2-3-23,Completed,UK,PayPal,No,6,35,Clothing
10035,6600,66.40575035,EUR,2-4-23,Completed,IN,Bitcoin,No,10,28,Home & Kitchen
10036,10857,474.5524612,INR,2-5-23,Cancelled,IN,Bitcoin,No,8,36,Home & Kitchen
10037,5169,336.2320237,USD,2-6-23,Completed,XX,Credit Card,No,3,18,Electronics
10038,14314,197.7331926,EUR,2-7-23,Completed,UK,PayPal,No,2,39,Electronics
10039,6500,220.8414178,GBP,2-8-23,Completed,CA,Bank Transfer,No,12,66,Toys
10040,12175,475.3906506,USD,2-9-23,Cancelled,IN,Bitcoin,No,10,68,Automotive
10041,14434,420.2815442,INR,2-10-23,Completed,US,Bank Transfer,No,9,42,Toys
10042,10098,357.9253288,BTC,2-11-23,Completed,DE,Credit Card,No,11,45,Automotive
10043,5338,215.8573964,INR,2-12-23,Completed,XX,Bank Transfer,No,2,62,Home & Kitchen
10044,12603,252.1303568,GBP,2-13-23,Completed,US,Bank Transfer,No,13,70,Toys
10045,6570,31.80972818,EUR,2-14-23,Cancelled,US,PayPal,No,11,32,Toys
10046,12892,22.78362599,GBP,2-15-23,Completed,DE,Credit Card,No,12,24,Home & Kitchen
10047,8300,13.14123925,EUR,2-16-23,Completed,IN,Bank Transfer,No,12,37,Automotive
10048,5151,99.18693291,INR,2-17-23,Refunded,IN,Bank Transfer,No,1,68,Electronics
10049,12066,266.0224373,USD,2-18-23,Completed,UK,Credit Card,No,1,52,Home & Kitchen
10050,9785,344.5731471,INR,2-19-23,Completed,US,Bitcoin,No,5,65,Home & Kitchen
10051,11790,288.6719806,INR,2-20-23,Completed,IN,Credit Card,No,1,20,Toys
10052,11042,316.6461906,INR,2-21-23,Completed,US,Bitcoin,No,3,51,Electronics
10053,8678,346.5645226,EUR,2-22-23,Refunded,US,Credit Card,No,5,37,Home & Kitchen
10054,5709,73.62975051,INR,2-23-23,Completed,CA,PayPal,No,10,74,Electronics
10055,9722,332.6300868,USD,2-24-23,Completed,CA,Bitcoin,No,5,74,Clothing
10056,6678,51.89770527,GBP,2-25-23,Completed,UK,Bank Transfer,Yes,14,37,Toys
10057,6098,76.45514153,EUR,2-26-23,Completed,UK,PayPal,No,12,62,Automotive
10058,13282,16.15259522,GBP,2-27-23,Completed,IN,Bitcoin,No,4,70,Home & Kitchen
10059,10426,39.18752974,USD,2-28-23,Completed,CA,Credit Card,No,5,34,Home & Kitchen
10060,14459,468.8198409,INR,3-1-23,Completed,CA,PayPal,No,4,37,Automotive
10061,11648,27.61518956,INR,3-2-23,Refunded,DE,Bitcoin,No,1,55,Electronics
10062,11942,267.6613899,BTC,3-3-23,Completed,CA,Credit Card,No,12,46,Home & Kitchen
10063,7130,153.3282251,EUR,3-4-23,Completed,US,Credit Card,No,5,24,Electronics
10064,11697,314.1324329,EUR,3-5-23,Completed,XX,PayPal,No,8,73,Electronics
10065,8802,492.9546526,INR,3-6-23,Completed,US,Bitcoin,No,3,22,Clothing
10066,8004,306.9323556,GBP,3-7-23,Completed,UK,Credit Card,No,10,31,Home & Kitchen
10067,6829,65.06560989,USD,3-8-23,Completed,US,PayPal,No,11,62,Toys
10068,15000,330.36922,USD,3-9-23,Completed,XX,Credit Card,No,3,60,Electronics
10069,12965,120.4848903,INR,3-10-23,Completed,CA,Bitcoin,No,10,35,Automotive
10070,14243,293.4190582,GBP,3-11-23,Completed,XX,PayPal,No,4,58,Home & Kitchen
10071,12337,48.89302162,GBP,3-12-23,Cancelled,DE,Bank Transfer,No,12,54,Home & Kitchen
10072,12004,304.0471422,USD,3-13-23,Cancelled,IN,Credit Card,No,11,72,Automotive
10073,14922,218.1272456,INR,3-14-23,Completed,IN,Bitcoin,No,4,69,Electronics
10074,12367,147.5561434,USD,3-15-23,Cancelled,DE,Credit Card,No,11,62,Toys
10075,9077,288.9164169,GBP,3-16-23,Completed,IN,Bitcoin,No,8,47,Toys
10076,7697,213.5047362,INR,3-17-23,Completed,CA,Bank Transfer,No,4,46,Clothing
10077,13168,454.4911107,USD,3-18-23,Completed,CA,Bank Transfer,No,9,61,Electronics
10078,9015,340.8762977,BTC,3-19-23,Completed,UK,PayPal,No,11,37,Automotive
10079,10856,81.17251606,BTC,3-20-23,Completed,CA,PayPal,No,5,62,Automotive
10080,10889,474.3925674,USD,3-21-23,Completed,US,Bank Transfer,No,3,47,Electronics
10081,8755,173.0622139,USD,3-22-23,Refunded,DE,Bank Transfer,No,12,38,Electronics
10082,7425,40.42311984,INR,3-23-23,Completed,IN,PayPal,No,12,32,Toys
10083,11445,334.3323157,INR,3-24-23,Refunded,UK,Bank Transfer,No,9,37,Electronics
10084,5698,94.01933354,USD,3-25-23,Completed,US,PayPal,No,5,30,Automotive
10085,6871,152.2189752,EUR,3-26-23,Completed,CA,PayPal,No,1,47,Home & Kitchen
10086,6069,154.7644365,BTC,3-27-23,Cancelled,UK,Bitcoin,No,3,40,Toys
10087,8379,257.658879,BTC,3-28-23,Completed,CA,Bank Transfer,No,3,70,Clothing
10088,14920,416.1197101,GBP,3-29-23,Completed,IN,Bank Transfer,No,14,20,Automotive
10089,5675,284.2949901,INR,3-30-23,Completed,DE,Bitcoin,No,1,29,Automotive
10090,9119,484.3615478,USD,3-31-23,Completed,IN,PayPal,No,1,18,Toys
10091,12899,238.0549174,BTC,4-1-23,Cancelled,US,Bank Transfer,No,2,48,Automotive
10092,8295,63.43656865,BTC,4-2-23,Completed,CA,Credit Card,No,14,41,Electronics
10093,5035,85.74744553,GBP,4-3-23,Cancelled,US,Credit Card,No,8,46,Electronics
10094,5632,288.9215592,INR,4-4-23,Completed,IN,Credit Card,No,11,70,Clothing
10095,5125,214.4634605,BTC,4-5-23,Completed,CA,Bank Transfer,No,14,50,Clothing
10096,8422,268.1221602,INR,4-6-23,Completed,US,PayPal,No,14,64,Automotive
10097,8707,26.32546889,BTC,4-7-23,Completed,US,Bitcoin,No,2,57,Clothing
10098,6255,388.1998573,USD,4-8-23,Completed,CA,Credit Card,No,9,53,Clothing
10099,9366,349.6477747,INR,4-9-23,Completed,UK,Bitcoin,No,6,33,Clothing
10100,11239,189.352062,GBP,4-10-23,Completed,CA,Bank Transfer,No,7,21,Toys
10101,,64.87381011,GBP,4-11-23,Cancelled,DE,Bitcoin,No,1,56,Electronics
10102,11719,292.6762946,USD,4-12-23,Completed,IN,Bank Transfer,No,14,60,Clothing
10103,,152.1112431,USD,4-13-23,Completed,UK,PayPal,No,3,50,Automotive
10104,6947,465.3239904,EUR,4-14-23,Cancelled,CA,PayPal,No,13,73,Electronics
10105,5289,144.2923915,GBP,4-15-23,Completed,UK,Bitcoin,No,10,48,Clothing
10106,5787,59.47412135,GBP,4-16-23,Cancelled,IN,Credit Card,No,4,39,Electronics
10107,10617,466.7842708,EUR,4-17-23,Cancelled,CA,Bank Transfer,No,2,30,Home & Kitchen
10108,11745,153.3794024,EUR,4-18-23,Completed,UK,Bank Transfer,No,9,22,Electronics
10109,6498,274.5144408,GBP,4-19-23,Completed,US,Bitcoin,No,7,50,Automotive
10110,13290,207.0629121,INR,4-20-23,Completed,DE,PayPal,No,11,40,Home & Kitchen
10111,6324,176.3817537,GBP,4-21-23,Completed,DE,Bank Transfer,No,2,24,Automotive
10112,6857,241.2532629,INR,4-22-23,Completed,IN,Bitcoin,No,7,45,Home & Kitchen
10113,13956,225.4874591,USD,4-23-23,Refunded,CA,PayPal,No,12,74,Toys
10114,14474,451.8087565,GBP,4-24-23,Completed,CA,Bank Transfer,No,12,54,Automotive
10115,9481,61.57592064,INR,4-25-23,Completed,US,Bitcoin,No,13,22,Home & Kitchen
10116,12568,494.4041408,INR,4-26-23,Completed,US,Credit Card,No,5,34,Clothing
